METERHEAD;R_MF_9A_6P;R_MF_6P_10;R_SA_9A_6P;R_SA_6P_10;R_SU_9A_6P;R_SU_6P_10;RATE_MISC;TIMEINEFFE;T_MF_9A_6P;T_MF_6P_10;T_SA_9A_6P;T_SA_6P_10;T_SU_9A_6P;T_SU_6P_10;TIME_MISC;CREDITCARD;PAY_PHONE;Geom;Geo Local Area;METERID
Twin;$3.00;$2.00;$3.00;$2.00;$3.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;60975;"{""coordinates"": [-123.12409436801835, 49.274615725767546], ""type"": ""Point""}";Downtown;581224
Twin;$3.00;$2.00;$3.00;$2.00;$3.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;64989;"{""coordinates"": [-123.12384605710108, 49.27495606430592], ""type"": ""Point""}";Downtown;581211
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;64979;"{""coordinates"": [-123.12230953228172, 49.27851261653465], ""type"": ""Point""}";Downtown;601003
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;65603;"{""coordinates"": [-123.12309767283968, 49.27781911445259], ""type"": ""Point""}";Downtown;601032
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;65973;"{""coordinates"": [-123.12321379364002, 49.27774199190781], ""type"": ""Point""}";Downtown;601038
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;65538;"{""coordinates"": [-123.123338973055, 49.27765883280244], ""type"": ""Point""}";Downtown;601042
Single;$1.00;$3.00;$1.00;$3.00;$1.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;61510;"{""coordinates"": [-123.12385045671638, 49.2774929901872], ""type"": ""Point""}";Downtown;601101
Twin;$2.00;$3.00;$2.00;$3.00;$2.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54819;"{""coordinates"": [-123.10113833793811, 49.24521053479173], ""type"": ""Point""}";Riley Park;514412
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;63551;"{""coordinates"": [-123.11382474052672, 49.27886972356219], ""type"": ""Point""}";Downtown;560718
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;61022;"{""coordinates"": [-123.11395114948549, 49.27878700520583], ""type"": ""Point""}";Downtown;560722
